disp_id,client_id,account_id,type_disp,frequency,Creation_account,card_id,Type_card,issued_date,district_id,district_name,region,nbr_inhabitants,nbr_municipalities_inhabitants < 499,nbr_municipalities_inhabitants 500-1999,nbr_municipalities_inhabitants 2000-9999,nbr_municipalities_inhabitants  >10000,nbr_cities,ratio_urban_inhabitants,average_salary,unemploymant_rate95,unemploymant_rate96,nbr_enterpreneurs_1000inhabitants,nbr_crimes95,nbr_crimes96,client_age,gender,birthdate,Credits,Withdrawals,remittance_another_bank,collection_another_bank,credit_cash,withdrawal_cash,creditcard_withdrawal,Q1-1993,Q1-1994,Q1-1995,Q1-1996,Q1-1997,Q1-1998,Q2-1993,Q2-1994,Q2-1995,Q2-1996,Q2-1997,Q2-1998,Q3-1993,Q3-1994,Q3-1995,Q3-1996,Q3-1997,Q3-1998,Q4-1993,Q4-1994,Q4-1995,Q4-1996,Q4-1997,Q4-1998,Other,Leasing,Insurance_Pay,Household_Pay,Loan_Pay,nbr_Other,nbr_Leasing,nbr_Insurance_Pay,nbr_Household_Pay,nbr_Loan_Pay,loan_id,date,amount,duration,payments,status
372,372,305,OWNER,Monthly,1996-10-18,,,,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,68.0,male,1932-04-03,116808.3,,64966.0,115180.0,200.0,35556.599999999984,,0,0,0,0,7,15,0,0,0,0,14,14,0,0,0,0,17,14,0,0,0,3,26,23,,,,2953.0,,,,,1.0,,,,,,,
373,373,306,OWNER,Monthly,1993-06-08,,,,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,64.0,male,1936-02-28,444938.29999999976,,226734.0,,439378.0,185465.20000000027,,0,20,21,20,17,14,3,16,15,15,15,12,9,16,17,15,14,13,22,29,26,26,25,22,,,,3657.0,,,,,1.0,,,,,,,
374,374,307,OWNER,Monthly,1997-08-07,61.0,classic,1998-10-18,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,33.0,male,1967-06-14,413142.89999999997,,,,409180.0,338575.19999999995,2400.0,0,0,0,0,0,19,0,0,0,0,0,14,0,0,0,0,6,13,0,0,0,0,17,21,,,,,,,,,,,,,,,,
375,375,308,OWNER,Monthly,1995-10-16,,,,61,Trebic,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,30.0,female,1969-09-29,68181.1,,,,67900.0,27600.0,,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,3,3,6,0,0,3,5,5,8,,1284.0,,,,,1.0,,,,,,,,,
376,376,309,OWNER,Monthly,1997-04-25,,,,14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,27.0,female,1973-01-08,428312.89999999997,,1901.0,,426020.0,402198.9999999999,,0,0,0,0,0,24,0,0,0,0,7,15,0,0,0,0,12,16,0,0,0,0,26,27,,,,,1901.0,,,,,1.0,5036.0,1998-11-25,91248.0,48.0,1901.0,C
378,378,311,OWNER,Monthly,1997-08-08,63.0,junior,1998-03-27,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,22.0,male,1978-05-15,310299.7,,110282.0,,307152.0,112375.20000000004,22300.0,0,0,0,0,0,37,0,0,0,0,0,27,0,0,0,0,6,29,0,0,0,0,20,45,726.0,,3375.0,4777.0,422.0,2.0,,1.0,1.0,1.0,,,,,,
379,379,311,DISPONENT,Monthly,1997-08-08,,,,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,16.0,female,1983-10-13,310299.7,,110282.0,,307152.0,112375.20000000004,22300.0,0,0,0,0,0,37,0,0,0,0,0,27,0,0,0,0,6,29,0,0,0,0,20,45,726.0,,3375.0,4777.0,422.0,2.0,,1.0,1.0,1.0,,,,,,
380,380,312,OWNER,Monthly,1996-01-03,,,,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,27.0,male,1973-01-19,488177.89999999985,,250048.0,,483270.0,177852.60000000012,,0,0,0,9,21,23,0,0,0,14,18,16,0,0,0,17,15,17,0,0,0,26,26,26,,,,7814.0,,,,,1.0,,,,,,,
381,381,313,OWNER,Monthly,1996-07-06,,,,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,23.0,female,1977-01-26,105935.39999999998,,59644.0,103260.0,700.0,20834.999999999985,,0,0,0,0,22,21,0,0,0,0,12,13,0,0,0,7,16,13,0,0,0,16,24,20,,,,2294.0,,,,,1.0,,,,,,,
382,382,313,DISPONENT,Monthly,1996-07-06,,,,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,22.0,male,1978-06-30,105935.39999999998,,59644.0,103260.0,700.0,20834.999999999985,,0,0,0,0,22,21,0,0,0,0,12,13,0,0,0,7,16,13,0,0,0,16,24,20,,,,2294.0,,,,,1.0,,,,,,,
383,383,314,OWNER,After_transaction,1996-01-26,,,,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,61.0,female,1939-05-17,1415124.2999999998,1389759.0,480121.0,1402089.0,8300.0,909638.0,,0,0,0,7,21,22,0,0,0,13,20,19,0,0,0,24,19,19,0,0,0,39,32,30,,,,13691.0,2785.0,,,,1.0,1.0,5039.0,1997-05-03,66840.0,24.0,2785.0,C
384,384,314,DISPONENT,After_transaction,1996-01-26,,,,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,64.0,male,1935-10-08,1415124.2999999998,1389759.0,480121.0,1402089.0,8300.0,909638.0,,0,0,0,7,21,22,0,0,0,13,20,19,0,0,0,24,19,19,0,0,0,39,32,30,,,,13691.0,2785.0,,,,1.0,1.0,5039.0,1997-05-03,66840.0,24.0,2785.0,C
385,385,315,OWNER,Monthly,1997-12-08,,,,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,52.0,male,1948-03-24,26200.0,,,,26200.0,11200.0,,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,5,,,,,3509.0,,,,,1.0,,,,,,
386,386,316,OWNER,Monthly,1997-05-08,,,,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,19.0,male,1980-08-21,153014.19999999998,,,,150190.0,132348.2,,0,0,0,0,0,16,0,0,0,0,8,18,0,0,0,0,17,19,0,0,0,0,29,30,,,,,,,,,,,,,,,,
387,387,317,OWNER,Monthly,1993-03-10,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,73.0,male,1927-06-06,422564.2000000002,,199420.0,414540.0,800.0,184449.00000000026,,3,22,19,19,19,20,6,17,14,14,16,14,15,14,15,13,14,13,28,25,28,25,25,21,,,,3068.0,,,,,1.0,,,,,,,
388,388,318,OWNER,Monthly,1994-09-16,,,,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,49.0,female,1950-10-30,358091.0999999999,,134326.0,,351684.0,187171.60000000015,,0,0,14,20,23,24,0,0,16,18,17,16,0,1,16,15,18,15,0,10,30,27,30,25,,,,2858.0,,,,,1.0,,,,,,,
389,389,319,OWNER,Weekly,1995-10-17,,,,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,26.0,female,1974-06-30,1722662.2,1643889.0,242775.0,,1713632.0,1401114.0,,0,0,0,29,29,44,0,0,0,24,27,32,0,0,0,25,26,36,0,0,11,42,47,65,2196.0,,416.0,1057.0,6149.5,1.0,,1.0,1.0,1.0,5041.0,1997-07-11,369000.0,60.0,6150.0,C
390,390,320,OWNER,Monthly,1997-01-23,,,,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,23.0,female,1977-01-27,170723.6,,,,167901.0,126492.00000000006,,0,0,0,0,9,25,0,0,0,0,17,20,0,0,0,0,17,18,0,0,0,0,31,27,,,,,,,,,,,,,,,,
391,391,321,OWNER,Monthly,1993-11-11,,,,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,67.0,female,1933-05-22,321989.50000000006,,105056.0,314943.0,1100.0,198967.60000000018,,0,5,20,19,21,23,0,16,14,16,14,16,0,13,14,13,13,15,2,23,26,25,25,23,,,,1876.0,,,,,1.0,,,,,,,
392,392,322,OWNER,Monthly,1993-02-20,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,50.0,female,1950-04-01,1281995.6,,425750.0,,1272196.0,820908.9999999991,,4,23,23,23,21,22,9,15,18,17,16,16,14,15,16,17,17,14,26,28,28,29,27,23,,,,6550.0,,,,,1.0,,,,,,,
393,393,322,DISPONENT,Monthly,1993-02-20,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,43.0,male,1956-08-31,1281995.6,,425750.0,,1272196.0,820908.9999999991,,4,23,23,23,21,22,9,15,18,17,16,16,14,15,16,17,17,14,26,28,28,29,27,23,,,,6550.0,,,,,1.0,,,,,,,
394,394,323,OWNER,Monthly,1997-02-23,,,,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,76.0,female,1924-05-18,152195.2,,54450.0,150392.0,200.0,77988.20000000001,,0,0,0,0,2,22,0,0,0,0,3,16,0,0,0,0,16,16,0,0,0,0,26,24,,,,3025.0,,,,,1.0,,,,,,,
395,395,323,DISPONENT,Monthly,1997-02-23,,,,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,81.0,male,1919-07-05,152195.2,,54450.0,150392.0,200.0,77988.20000000001,,0,0,0,0,2,22,0,0,0,0,3,16,0,0,0,0,16,16,0,0,0,0,26,24,,,,3025.0,,,,,1.0,,,,,,,
396,396,324,OWNER,Monthly,1996-08-23,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,80.0,male,1920-05-02,150641.8,,49656.0,147812.0,500.0,62875.799999999974,,0,0,0,0,23,22,0,0,0,0,19,18,0,0,0,2,17,15,0,0,0,5,30,27,,,,2069.0,,,,,2.0,,,,,,,
397,397,325,OWNER,Monthly,1996-10-06,,,,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,70.0,male,1930-03-27,159943.59999999998,,63043.0,157923.0,300.0,77151.20000000001,,0,0,0,0,12,17,0,0,0,0,15,15,0,0,0,0,14,15,0,0,0,7,28,23,,,,2741.0,,,,,1.0,,,,,,,
398,398,326,OWNER,Monthly,1997-08-06,,,,61,Trebic,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,75.0,female,1925-03-26,93453.7,,44824.0,91392.0,1000.0,30305.19999999999,,0,0,0,0,0,19,0,0,0,0,0,16,0,0,0,0,5,16,0,0,0,0,17,27,,,,3448.0,,,,,2.0,,,,,,,
399,399,327,OWNER,Monthly,1993-06-02,,,,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,48.0,male,1952-04-14,1176794.2,,444591.0,,1163584.0,667605.1999999991,,0,26,27,26,26,27,3,20,21,22,21,19,10,20,19,18,18,20,27,33,34,32,32,34,3805.0,,,3252.0,,1.0,,,1.0,,,,,,,
400,400,328,OWNER,Monthly,1997-09-18,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,66.0,male,1933-12-27,106121.69999999998,,26752.0,104595.0,600.0,66285.99999999999,,0,0,0,0,0,16,0,0,0,0,0,20,0,0,0,0,1,19,0,0,0,0,6,30,,,,2432.0,,,,,2.0,,,,,,,
401,401,328,DISPONENT,Monthly,1997-09-18,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,71.0,female,1928-11-19,106121.69999999998,,26752.0,104595.0,600.0,66285.99999999999,,0,0,0,0,0,16,0,0,0,0,0,20,0,0,0,0,1,19,0,0,0,0,6,30,,,,2432.0,,,,,2.0,,,,,,,
402,402,329,OWNER,Monthly,1996-10-19,64.0,classic,1998-05-10,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,56.0,male,1943-12-25,685646.6,,85844.0,,680597.0,521766.59999999974,2900.0,0,0,0,0,14,21,0,0,0,0,19,20,0,0,0,0,18,18,0,0,0,7,35,30,3110.0,,,792.0,,1.0,,,1.0,,,,,,,
403,403,330,OWNER,Monthly,1996-11-24,,,,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,27.0,female,1973-05-26,620206.9000000001,,41448.0,,616210.0,552031.9999999998,,0,0,0,0,9,16,0,0,0,0,17,18,0,0,0,0,18,16,0,0,0,4,28,25,,,,,6908.0,,,,,1.0,5042.0,1998-07-12,331584.0,48.0,6908.0,C
404,404,330,DISPONENT,Monthly,1996-11-24,,,,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,33.0,male,1967-04-20,620206.9000000001,,41448.0,,616210.0,552031.9999999998,,0,0,0,0,9,16,0,0,0,0,17,18,0,0,0,0,18,16,0,0,0,4,28,25,,,,,6908.0,,,,,1.0,5042.0,1998-07-12,331584.0,48.0,6908.0,C
405,405,331,OWNER,Monthly,1995-10-02,,,,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,65.0,female,1934-10-19,265086.5,,119952.0,260598.0,1100.0,129656.4000000001,,0,0,0,13,21,20,0,0,0,16,17,15,0,0,0,14,13,14,0,0,7,26,27,26,,,,3528.0,,,,,1.0,,,,,,,
406,406,332,OWNER,Monthly,1996-01-12,,,,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,23.0,male,1977-05-15,175248.29999999993,,71550.0,130445.0,40200.0,77858.0,,0,0,0,7,24,24,0,0,0,11,17,18,0,0,0,17,15,15,0,0,0,29,29,24,,,,2385.0,,,,,1.0,,,,,,,
407,407,333,OWNER,Monthly,1996-12-23,,,,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,25.0,female,1975-05-27,74088.6,,39668.0,71952.0,700.0,13897.400000000003,,0,0,0,0,3,27,0,0,0,0,12,20,0,0,0,0,19,20,0,0,0,1,34,32,72.0,,292.0,1634.0,,1.0,,1.0,1.0,,,,,,,
408,408,334,OWNER,Monthly,1993-05-24,,,,35,Jablonec n. Nisou,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,22.0,female,1978-02-22,1370570.3999999992,,219604.0,,1353556.0,1054165.199999999,,0,26,26,27,27,26,4,21,21,20,21,20,9,20,19,18,19,20,23,34,32,32,33,31,1168.0,,,2374.0,,1.0,,,1.0,,,,,,,
409,409,335,OWNER,Monthly,1996-01-20,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,75.0,male,1925-06-18,204156.40000000002,,83607.0,200025.0,1000.0,91508.00000000004,,0,0,0,3,21,22,0,0,0,9,14,15,0,0,0,16,13,16,0,0,0,28,25,26,,,,2697.0,,,,,1.0,,,,,,,
410,410,336,OWNER,Monthly,1995-10-16,,,,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,37.0,male,1962-12-20,772981.7000000001,,138278.0,,767943.0,578681.7999999996,,0,0,0,11,23,24,0,0,0,18,18,17,0,0,0,17,16,16,0,0,7,29,28,27,,,,4067.0,,,,,1.0,,,,,,,
411,411,337,OWNER,Monthly,1995-11-25,,,,17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,59.0,female,1941-04-14,1096384.5,1039063.9999999994,,,1090575.0,1039063.9999999993,,0,0,0,19,11,23,0,0,0,14,11,24,0,0,0,10,10,16,0,0,7,20,19,27,,,,,,,,,,,,,,,,
412,412,337,DISPONENT,Monthly,1995-11-25,,,,17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,56.0,male,1944-04-17,1096384.5,1039063.9999999994,,,1090575.0,1039063.9999999993,,0,0,0,19,11,23,0,0,0,14,11,24,0,0,0,10,10,16,0,0,7,20,19,27,,,,,,,,,,,,,,,,
413,413,338,OWNER,Monthly,1995-11-18,,,,49,Semily,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,27.0,female,1972-11-18,145622.70000000004,,72064.0,124986.0,18100.0,56027.19999999996,,0,0,0,9,16,20,0,0,0,15,15,13,0,0,0,15,12,14,0,0,4,26,22,23,,,,2252.0,,,,,1.0,,,,,,,
414,414,339,OWNER,Weekly,1996-09-11,65.0,classic,1998-02-02,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,52.0,female,1947-10-19,1439996.2000000002,1342010.3999999994,188719.40000000002,1427611.0,4000.0,1147291.0,6000.0,0,0,0,0,25,29,0,0,0,0,26,25,0,0,0,3,25,25,0,0,0,13,42,39,48.0,,,4087.0,7801.2,1.0,,,1.0,1.0,5043.0,1997-12-25,468060.0,60.0,7801.0,C
415,415,339,DISPONENT,Weekly,1996-09-11,,,,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,55.0,male,1945-04-01,1439996.2000000002,1342010.3999999994,188719.40000000002,1427611.0,4000.0,1147291.0,6000.0,0,0,0,0,25,29,0,0,0,0,26,25,0,0,0,3,25,25,0,0,0,13,42,39,48.0,,,4087.0,7801.2,1.0,,,1.0,1.0,5043.0,1997-12-25,468060.0,60.0,7801.0,C
416,416,340,OWNER,Monthly,1993-11-03,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,67.0,female,1932-10-07,365924.3999999999,,103626.0,357988.0,1000.0,222902.20000000022,,0,7,24,23,24,26,0,20,20,18,16,20,0,18,21,17,15,18,5,34,36,32,29,31,,,,1818.0,,,,,2.0,,,,,,,
417,417,340,DISPONENT,Monthly,1993-11-03,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,70.0,male,1930-06-10,365924.3999999999,,103626.0,357988.0,1000.0,222902.20000000022,,0,7,24,23,24,26,0,20,20,18,16,20,0,18,21,17,15,18,5,34,36,32,29,31,,,,1818.0,,,,,2.0,,,,,,,
418,418,341,OWNER,Monthly,1996-11-19,,,,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,33.0,male,1966-10-13,424293.20000000007,,,,422160.0,409991.9999999999,,0,0,0,0,9,13,0,0,0,0,15,12,0,0,0,0,14,13,0,0,0,4,23,22,,,,,,,,,,,,,,,,
419,419,342,OWNER,Monthly,1996-10-13,,,,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,29.0,female,1970-10-07,93619.99999999997,,51304.0,90948.0,1000.0,22386.599999999995,,0,0,0,0,6,21,0,0,0,0,14,15,0,0,0,0,15,13,0,0,0,3,27,20,,,,2332.0,,,,,1.0,,,,,,,
420,420,343,OWNER,Monthly,1994-04-26,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,22.0,male,1978-03-13,256286.1,,127755.0,210448.0,41400.0,110074.60000000011,,0,0,22,23,19,24,0,7,18,16,14,17,0,10,16,16,16,16,0,24,27,27,28,27,,,,2505.0,,,,,1.0,,,,,,,
421,421,344,OWNER,Monthly,1993-12-01,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,34.0,male,1965-07-31,949029.0,,350907.0,,939342.0,541517.5999999994,,0,9,21,20,21,20,0,21,21,20,21,22,0,20,19,21,19,19,4,33,33,33,32,34,,,,4739.0,1683.0,,,,1.0,1.0,5044.0,1994-12-21,100980.0,60.0,1683.0,C
422,422,345,OWNER,Monthly,1993-11-20,,,,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,53.0,male,1946-12-07,1129966.0999999996,,493864.0,,1118856.0,553217.5999999994,,0,9,22,22,25,22,0,16,18,18,17,17,0,19,16,20,16,17,4,30,27,30,28,27,,,,8819.0,,,,,1.0,,,,,,,
423,423,346,OWNER,Monthly,1993-01-11,,,,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,43.0,male,1957-06-23,1556660.9999999995,,527625.0,,1543495.0,977283.5999999989,,7,22,23,21,23,22,12,16,18,20,16,17,16,17,18,18,15,17,27,27,29,29,27,29,,,,7875.0,,,,,1.0,,,,,,,
424,424,347,OWNER,Monthly,1993-12-13,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,52.0,male,1947-10-08,2000732.4999999995,1944972.2,171626.40000000002,,1990266.0,1773345.800000001,,0,6,17,16,20,17,0,18,15,22,22,21,0,19,23,16,24,22,3,32,37,32,35,36,,,,,7801.2,,,,,1.0,5045.0,1995-05-01,187224.0,24.0,7801.0,B
425,425,348,OWNER,Monthly,1995-11-15,66.0,classic,1998-07-08,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,52.0,male,1948-02-12,748372.2999999999,,,,741783.0,671967.1999999996,3300.0,0,0,0,9,20,22,0,0,0,14,14,13,0,0,0,12,14,14,0,0,4,21,24,22,,,,,,,,,,,,,,,,
426,426,349,OWNER,Monthly,1997-06-08,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,63.0,male,1937-06-01,179138.80000000005,,79512.0,,177709.0,82944.40000000002,,0,0,0,0,0,20,0,0,0,0,3,19,0,0,0,0,9,19,0,0,0,0,26,30,,,,4660.0,3568.0,,,,1.0,1.0,5046.0,1998-09-09,42816.0,12.0,3568.0,C
427,427,349,DISPONENT,Monthly,1997-06-08,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,58.0,female,1941-09-14,179138.80000000005,,79512.0,,177709.0,82944.40000000002,,0,0,0,0,0,20,0,0,0,0,3,19,0,0,0,0,9,19,0,0,0,0,26,30,,,,4660.0,3568.0,,,,1.0,1.0,5046.0,1998-09-09,42816.0,12.0,3568.0,C
428,428,350,OWNER,Monthly,1996-10-13,,,,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,80.0,female,1919-11-16,166503.9,,79611.0,164034.0,500.0,64736.59999999998,,0,0,0,0,9,20,0,0,0,0,16,15,0,0,0,0,13,13,0,0,0,3,24,25,,,,3791.0,,,,,1.0,,,,,,,
429,429,351,OWNER,Monthly,1997-02-17,67.0,junior,1998-01-28,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,19.0,female,1981-01-20,179747.00000000003,,,,177218.0,150092.00000000006,11500.0,0,0,0,0,7,25,0,0,0,0,15,18,0,0,0,0,19,17,0,0,0,0,31,28,,,,,,,,,,,,,,,,
430,430,352,OWNER,Monthly,1994-07-04,,,,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,79.0,male,1920-07-28,239630.99999999997,,97608.0,234954.0,200.0,122025.40000000011,,0,0,18,18,19,20,0,0,14,14,15,15,0,7,16,15,13,16,0,15,29,25,24,23,,,,1992.0,,,,,1.0,,,,,,,
431,431,353,OWNER,Monthly,1995-08-30,,,,24,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,72.0,female,1927-10-01,274748.0,,128376.0,267040.0,1000.0,76081.0,,0,0,0,19,19,17,0,0,0,18,18,18,0,0,2,18,17,18,0,0,5,32,28,28,,,,3566.0,,,,,2.0,,,,,,,
432,432,354,OWNER,Monthly,1993-10-28,,,,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,48.0,female,1952-03-26,810803.3999999999,,276718.0,,800455.0,451432.1999999995,,0,11,23,23,23,22,0,19,19,17,18,18,0,16,16,17,16,16,7,28,27,29,27,26,,,,4771.0,,,,,1.0,,,,,,,
433,433,355,OWNER,Weekly,1996-02-01,,,,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,45.0,male,1955-02-07,561664.2000000001,539900.0,246109.0,452545.0,104300.0,293791.0,,0,0,0,6,23,23,0,0,0,14,21,20,0,0,0,19,21,21,0,0,0,33,37,33,2927.0,,,5012.0,,1.0,,,1.0,,,,,,,
434,434,356,OWNER,Monthly,1996-03-12,68.0,classic,1998-01-31,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,57.0,female,1943-01-30,674151.5000000001,,121452.0,,666476.0,460808.7999999998,16800.0,0,0,0,1,16,17,0,0,0,9,17,19,0,0,0,14,17,16,0,0,0,29,29,26,,,,4188.0,,,,,1.0,,,,,,,
435,435,357,OWNER,Monthly,1996-03-10,,,,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,32.0,male,1967-10-23,105791.90000000001,,59972.0,102399.0,1000.0,23148.799999999996,,0,0,0,1,23,23,0,0,0,3,16,17,0,0,0,13,16,18,0,0,0,28,28,30,280.0,,,1788.0,,1.0,,,1.0,,,,,,,
436,436,358,OWNER,Monthly,1993-12-09,,,,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,45.0,male,1955-06-15,212158.59999999992,,116255.0,189039.0,18500.0,75357.59999999998,,0,9,26,24,23,23,0,24,24,22,23,22,0,27,26,23,22,23,3,43,42,38,37,36,1507.0,,27.0,532.0,,2.0,,1.0,1.0,,,,,,,
437,437,359,OWNER,Monthly,1994-12-11,,,,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,80.0,female,1920-01-17,258768.19999999995,,155936.0,255168.0,400.0,78327.80000000002,,0,0,3,17,15,14,0,0,12,13,13,15,0,0,14,13,12,12,0,1,24,22,22,20,,,,3544.0,,,,,1.0,,,,,,,
438,438,360,OWNER,Monthly,1996-05-14,69.0,classic,1997-05-17,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,61.0,male,1938-09-28,830802.2999999998,,,,824036.0,766959.5999999996,8500.0,0,0,0,0,16,16,0,0,0,4,14,14,0,0,0,9,14,13,0,0,0,21,23,21,,,,,,,,,,,,,,,,
439,439,361,OWNER,Monthly,1993-02-27,70.0,classic,1994-02-08,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,31.0,female,1968-09-12,1812934.7000000004,,219714.0,,1798688.0,1464949.000000001,93300.0,4,24,24,25,26,24,9,19,20,22,19,19,19,19,18,18,17,18,33,34,32,34,31,32,1388.0,,,1941.0,,1.0,,,1.0,,,,,,,
